nta_2010_code,nta_2010_name,nta_2020_code,nta_2020_name,intersection_area_sqft,borough,pct_of_2010_area,pct_of_2020_area
BK09,Brooklyn Heights-Cobble Hill,BK0201,Brooklyn Heights,9953991.201166674,,99.70252900397738,99.56479717224963
BK09,Brooklyn Heights-Cobble Hill,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,20531.169350890505,,0.20564710841343808,0.03374784326943524
BK09,Brooklyn Heights-Cobble Hill,MN0101,Financial District-Battery Park City,4886.14486549606,,0.048941272935087335,0.02545071017035238
BK09,Brooklyn Heights-Cobble Hill,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,4273.417211393821,,0.0428039863462156,0.018006352220418326
BK09,Brooklyn Heights-Cobble Hill,MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,7.850008337042766,,7.862832788256201e-05,7.163357145600626e-05
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,63316297.270104125,,99.95999513127717,99.92923085811803
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK1303,Brighton Beach,12281.276358559935,,0.019388946889463327,0.09047884755332718
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK1891,Marine Park-Plumb Island,6119.230449134044,,0.009660676196733577,0.01412105484232858
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK1301,Gravesend (South),6056.335150259076,,0.009561380848768076,0.023253564731320318
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK1502,Madison,504.2527123987394,,0.0007960841181423749,0.0018418835791754653
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK1501,Gravesend (East)-Homecrest,378.64406191727124,,0.0005977806697109027,0.0010856875193430344
BK19,Brighton Beach,BK1303,Brighton Beach,13549551.605927126,,78.86801610935352,99.8225085387111
BK19,Brighton Beach,BK1301,Gravesend (South),3613469.272311217,,21.03295821646452,13.874073931448688
BK19,Brighton Beach,BK1302,Coney Island-Sea Gate,9819.77401533421,,0.05715806085367478,0.020717872962607506
BK19,Brighton Beach,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,6928.543481886881,,0.0403290451844012,0.010935004903372557
BK19,Brighton Beach,BK1501,Gravesend (East)-Homecrest,264.3265228805897,,0.0015385681438754375,0.0007579044168015971
BK21,Seagate-Coney Island,BK1302,Coney Island-Sea Gate,38612506.93748598,,99.7043886300612,81.46511439565029
BK21,Seagate-Coney Island,BK1301,Gravesend (South),104211.24848821679,,0.2690920544401603,0.40012366428380264
BK21,Seagate-Coney Island,BK1303,Brighton Beach,8749.04834005942,,0.022591605286151673,0.06445615161531529
BK21,Seagate-Coney Island,BK1391,Calvert Vaux Park,1521.0838751599558,,0.003927710212481275,0.037073762890813405
BK23,West Brighton,BK1302,Coney Island-Sea Gate,8731629.843184758,,99.91672704271156,18.4220937839431
BK23,West Brighton,BK1301,Gravesend (South),4215.412493317327,,0.04823729670537653,0.01618526135865807
BK23,West Brighton,BK1303,Brighton Beach,3061.733791502376,,0.0350356605830887,0.02255646212025284
BK25,Homecrest,BK1501,Gravesend (East)-Homecrest,29986635.798054814,,99.98218633532241,85.98079174458637
BK25,Homecrest,BK1204,Mapleton-Midwood (West),3248.2097811484714,,0.010830261780018356,0.010354947119403107
BK25,Homecrest,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,1109.0983719666294,,0.003697983356217757,0.0017504394924392887
BK25,Homecrest,BK1301,Gravesend (South),605.6893699649803,,0.0020195045505268386,0.0023255709306230833
BK25,Homecrest,BK1103,Gravesend (West),162.2991643152986,,0.0005411419072789724,0.0004799928197541617
BK25,Homecrest,BK1403,Midwood,136.0640746159282,,0.0004536682191830073,0.0004222529986448157
BK25,Homecrest,BK1502,Madison,81.30971254699381,,0.000271104864363357,0.0002969999380972285
BK26,Gravesend,BK1301,Gravesend (South),22305883.05335721,,71.16961370159022,85.64441739131864
BK26,Gravesend,BK1501,Gravesend (East)-Homecrest,4887648.5331451055,,15.594632912805789,14.014372718540933
BK26,Gravesend,BK1391,Calvert Vaux Park,4101336.992980235,,13.085810983238035,99.96292623710919
BK26,Gravesend,BK1302,Coney Island-Sea Gate,43640.83891390553,,0.13924136693832975,0.09207394744400754
BK26,Gravesend,BK1103,Gravesend (West),3353.9038977935984,,0.0107010354276157,0.009919026976374121
BK27,Bath Beach,BK1102,Bath Beach,20524613.10918193,,99.94935647572487,99.97197709809794
BK27,Bath Beach,BK1103,Gravesend (West),7331.87080803549,,0.035704242761022686,0.021683693554856148
BK27,Bath Beach,BK1091,Dyker Beach Park,2568.2039013769427,,0.012506463623727843,0.02585142617393037
BK27,Bath Beach,BK1061,Fort Hamilton,237.70936372850392,,0.0011575807936807909,0.0027934102323523063
BK27,Bath Beach,BK1101,Bensonhurst,235.68567439688258,,0.00114772596984921,0.00048465267494459844
BK27,Bath Beach,BK1002,Dyker Heights,26.184426173578718,,0.00012751112685113278,8.987848252773312e-05
BK28,Bensonhurst West,BK1101,Bensonhurst,42323101.0613765,,90.68474281611203,87.03118759269827
BK28,Bensonhurst West,BK1103,Gravesend (West),4342502.754660401,,9.304581554965784,12.842765708579709
BK28,Bensonhurst West,BK1102,Bath Beach,4712.222797099246,,0.010096772252757678,0.022952453575945508
BK28,Bensonhurst West,BK1202,Borough Park,112.17243145346397,,0.00024034930906087292,0.0002771393243614838
BK28,Bensonhurst West,BK1002,Dyker Heights,101.2782519493747,,0.00021700659924648097,0.00034763930047305384
