legacy_id,legacy_name,legacy_lat,legacy_lon,trip_count,modern_id,modern_name,match_score,match_confidence,match_distance_m
3661,Montgomery St & Franklin Ave,40.666439306870814,-73.9605563879013,6331,81a98b0b-cfd6-48b4-90bd-806ebbc264a0,Montgomery St & Franklin Ave,100.0,high,0.0
3590,Carroll St & Franklin Ave,40.6679411,-73.9588,6330,b90574d1-e9e7-45be-8adb-e38cb285fea5,Carroll St & Franklin Ave,100.0,high,0.0
8052.01,Webster Ave & E 166 St,40.828975,-73.911259,6313,ab29ce96-c2e8-4929-b27b-e0fe4aae17d5,Webster Ave & E 166 St,100.0,high,0.0
4116.09,Washington Ave & Park Pl,40.675832,-73.963308,6300,1880643645302280466,Washington Ave & Park Pl,100.0,high,0.0
8782.01,Paul Ave & W 205 St,40.87704,-73.88943,6284,48b19cc8-bf45-4602-89ac-a8c0a0560c43,Paul Ave & W 205 St,100.0,high,0.0
6935.01,Ditmars Blvd & 48 St,40.769219,-73.901001,6273,60a061d5-d984-4573-af3c-2054f4f59e94,Ditmars Blvd & 48 St,100.0,high,0.0
6116.03,61 St & Queens Blvd,40.74091,-73.90273,6271,f5393bc2-36d4-4508-bf51-fa48d121f751,61 St & Queens Blvd,100.0,high,0.0
8061.01,Jerome Ave & Anderson Ave,40.830179,-73.928747,6265,1bb1af93-b433-4da7-8054-009c85f7755a,Jerome Ave & Anderson Ave,100.0,high,0.0
8703.05,Grand Concourse & E 199 St,40.87142,-73.88839,6256,c3062f44-c5b9-4650-a4ec-cc66cbf5b944,Grand Concourse & E 199 St,100.0,high,0.0
4220.02,Ralph Ave & Fulton St,40.67922,-73.92192,6251,e24cb64d-10c2-48db-9440-59e63c0f1c95,Ralph Ave & Fulton St,100.0,high,0.0
6092.01,47 Ave & 48 St,40.74086,-73.91708,6242,e5b2a7ce-d867-465b-8446-743e00617068,47 Ave & 48 St,100.0,high,0.0
3617.02,Maple St & New York Ave,40.66104,-73.94795,6225,bda1fab4-5065-42df-a8ff-514e6064ab6e,Maple St & New York Ave,100.0,high,0.0
4920.13,South St & Broad St,40.70188858913366,-74.01089876890182,6150,c00ef46d-fcde-48e2-afbd-0fb595fe3fa7,South St & Broad St,100.0,high,0.0
7820.05,Hunts Point Ave & Bryant Ave,40.813991,-73.8855,6114,fec4aa1b-9fc1-4dd9-ab39-c1d7370a6e54,Hunts Point Ave & Bryant Ave,100.0,high,0.0
3135.04,Chester Ave & 12 Ave,40.644367,-73.984276,6109,7aa86431-bbc5-4d9c-8198-9630c9d32a22,Chester Ave & 12 Ave,100.0,high,0.0
6276.05,Skillman Ave & 54 St,40.745502,-73.909887,6104,b9c209b2-6284-4f5a-a32a-680ef9da1c1f,Skillman Ave & 54 St,100.0,high,0.0
8064.03,Union Ave & E 169 St,40.82995,-73.898802,6064,c0e0e578-8ce8-4c9d-be47-b902d8a41050,Union Ave & E 169 St,100.0,high,0.0
8732.04,W 218 St & Indian Rd,40.873054589370895,-73.91837194561958,6047,30d6520e-b612-4240-a9ff-eec12b02b263,W 218 St & Indian Rd,100.0,high,0.0
3761,Cedar St & Myrtle Ave,40.697842,-73.926241,6043,21361381-fd4a-44a4-bfa7-61f075192ce9,Cedar St & Myrtle Ave,100.0,high,0.0
8571.02,Grand Ave & W Fordham Rd,40.86288,-73.90316,6042,4bc6f4d0-edd5-4eb0-a704-f7ce0d693aac,Grand Ave & W Fordham Rd,100.0,high,0.0
8141.05,College Ave & E 169 St,40.835122799036405,-73.91196817159653,6020,f3eb962c-314a-4431-bac7-2eb2ffbe2fd2,College Ave & E 169 St,100.0,high,0.0
5311.08,Division St & Bowery,40.71419,-73.99673,6018,1960020540642077008,Division St & Bowery,100.0,high,0.0
3544.02,Winthrop St & Nostrand Ave,40.65707,-73.95005,5987,39112ced-337f-4b71-9df6-291cd4265cc9,Winthrop St & Nostrand Ave,100.0,high,0.0
7867.04,Southern Blvd & Tiffany St,40.818185,-73.894143,5957,8a89684b-40a5-49fe-b75d-fdf32ffa8102,Southern Blvd & Tiffany St,100.0,high,0.0
5057.07,67 Ave & Fresh Pond Rd,40.70575,-73.89676,5938,ed1199e4-d9a6-4d9e-8c81-62bcd7510a11,67 Ave & Fresh Pond Rd,100.0,high,0.0
6185.04,33 St & 47 Ave,40.74283,-73.9321,5915,d837d1b0-8f80-4f6c-ae45-5dd0deec6977,33 St & 47 Ave,100.0,high,0.0
5257.01,53 St & Flushing Ave,40.71435,-73.91405,5892,d52d4171-fd60-4a28-b7e2-89f3693e0591,53 St & Flushing Ave,100.0,high,0.0
5216.07,Vesey St & Greenwich St,40.71254669463547,-74.01113051087516,5849,1989279523593928720,Vesey St & Greenwich St,100.0,high,0.0
6319.03,44 Dr & 21 St,40.748036,-73.946705,5833,1882736039096477712,44 Dr & 21 St,100.0,high,0.0
4719.04,St Felix Ave & 61 St,40.69715,-73.8936,5826,016ee47a-4871-4209-91cb-bf3ceeddc991,St Felix Ave & 61 St,100.0,high,0.0
3771,McKibbin St & Bogart St,40.706237,-73.933871,5804,b03adb87-2bd9-43a5-a822-7d06a9ee2d81,McKibbin St & Bogart St,100.0,high,0.0
8555.05,Loring Pl North & W 183 St,40.8604244,-73.9093359997,5794,47da6ab2-c841-4f2d-97ef-dd8d441c96b1,Loring Pl North & W 183 St,100.0,high,0.0
4007.01,Schenectady Ave & Prospect Pl,40.67351,-73.93363,5787,94bcf812-5cff-460c-841f-54876ed1e7a4,Schenectady Ave & Prospect Pl,100.0,high,0.0
3966.01,St Johns Pl & Utica Ave,40.6705,-73.9308,5778,bb6bba3f-19a0-4ebb-a454-4ac678d9d62d,St Johns Pl & Utica Ave,100.0,high,0.0
5917.02,Bradley Ave & Greenpoint Ave,40.73565914819229,-73.93478840589523,5762,57f144cb-375d-4eee-b458-e288116cb8f7,Bradley Ave & Greenpoint Ave,100.0,high,0.0
8044.09,Intervale Ave & Kelly St,40.827301,-73.896372,5744,5d994b32-b7a5-450d-9bbb-93bf3b03e6d5,Intervale Ave & Kelly St,100.0,high,0.0
3038.08,50 St & 7 Ave,40.642501,-74.006055,5740,7cb65297-c880-459a-b054-4e059576c02a,50 St & 7 Ave,100.0,high,0.0
8752.01,Bedford Park Blvd & Paul Ave,40.87444,-73.89186,5704,c8c39d85-4ce7-46c5-b709-998067200780,Bedford Park Blvd & Paul Ave,100.0,high,0.0
6278.05,Davis St & Jackson Ave,40.745627,-73.945661,5695,1882736243099681438,Davis St & Jackson Ave,100.0,high,0.0
8682.06,Bainbridge Ave & Bedford Park Blvd,40.87002,-73.88565,5683,84b30f68-5404-453a-ae86-a2baff03a2c9,Bainbridge Ave & Bedford Park Blvd,100.0,high,0.0
3586,34 Ave & 13 St,40.7638753,-73.9364848,5670,ec42fb3a-af54-46aa-a8b3-b17d72ed4475,34 Ave & 13 St,100.0,high,0.0
8323.05,Townsend Ave & E 175 St,40.84741,-73.911359,5638,1431ec5c-242d-401b-b672-dbf95155999b,Townsend Ave & E 175 St,100.0,high,0.0
3451.01,34 St & 5 Ave,40.654098,-74.001131,5633,dccab832-b4a2-4105-927d-b52ec0d92c92,34 St & 5 Ave,100.0,high,0.0
6579.03,58 St & 32 Ave,40.75574,-73.903427,5620,6a9b19e3-cd69-4e0c-9b28-1889db936c7c,58 St & 32 Ave,100.0,high,0.0
3050.03,55 St & 5 Ave,40.642408,-74.013318,5603,566a6389-5c22-49ca-8c24-4d9eea135170,55 St & 5 Ave,100.0,high,0.0
8099.04,Prospect Ave & Jennings St,40.831762,-73.896853,5585,facb0195-8daa-46e3-95e1-6f22fb678e8a,Prospect Ave & Jennings St,100.0,high,0.0
4122.03,Pacific St & Troy Ave,40.67686,-73.93607,5579,c066c90a-efb1-4f8b-aa15-38ba4edd4ebc,Pacific St & Troy Ave,100.0,high,0.0
8778.01,E Mosholu Pkwy & Van Cortlandt Ave E,40.87656,-73.88366,5576,ffae66ec-7c16-436f-bd0a-eedf81d580e7,E Mosholu Pkwy & Van Cortlandt Ave E,100.0,high,0.0
6927.03,Ditmars Blvd & 76 St,40.768442,-73.893531,5563,6fcad2af-c3e2-47a4-8942-023ae4047e67,Ditmars Blvd & 76 St,100.0,high,0.0
8535.01,Buchanan Pl & Grand Ave,40.85834,-73.90626,5553,eef98eb6-f550-49f9-a910-4d2863e6a591,Buchanan Pl & Grand Ave,100.0,high,0.0
3781,Greene Av & Myrtle Av,40.698568,-73.918877,5544,20f3a578-4dfa-45ca-a917-b394d77ee08e,Greene Ave & Myrtle Ave,96.8,high,0.0
3625.04,Bedford Ave & Maple St,40.66035,-73.95679,5538,cad68b8c-6d68-4c5f-88fe-b1aa3e40727a,Bedford Ave & Maple St,100.0,high,0.0
8167.04,Charlotte St & Boston Rd,40.8358771,-73.8931428,5536,9790606b-a00d-4d5e-b6ec-abd11c9d25b3,Charlotte St & Boston Rd,100.0,high,0.0
4095.1,Van Brunt St & Van Dyke St,40.6758329439129,-74.01472628116608,5526,633fbc4c-7617-47ba-a393-aad7a8d26a3e,Van Brunt St & Van Dyke St,100.0,high,0.0
8183.02,University Ave & W 168 St,40.838706,-73.927034,5525,ba7bf20d-b6bc-43dd-bf30-acb940eaeec8,University Ave & W 168 St,100.0,high,0.0
8472.06,Valentine Ave & E 183 St,40.856987,-73.898237,5517,191d5d54-de64-4312-99c7-eee141efa4ef,Valentine Ave & E 183 St,100.0,high,0.0
5572.07,Van Dam St & Meeker Ave,40.72532,-73.9368,5511,1808184356986544410,Van Dam St & Meeker Ave,100.0,high,0.0
3263.01,E 18 St & Church Ave,40.64958,-73.96316,5505,1826348248869574940,E 18 St & Church Ave,100.0,high,0.0
8233.01,Inwood Ave & W 170 St,40.840536,-73.919228,5495,79c4a612-a5df-4814-9e6b-6305da61ebc4,Inwood Ave & W 170 St,100.0,high,0.0
8649.03,Bainbridge Ave & E 198 St,40.8684871,-73.8884559781,5484,d9ea5210-50b3-4342-9801-f896bd21f4a1,Bainbridge Ave & E 198 St,100.0,high,0.0
7220.01,Steinway St & 19 Ave,40.778089,-73.899558,5483,f34ea09d-32f9-492c-9124-99059bc0b5dd,Steinway St & 19 Ave,100.0,high,0.0
7577.24,Central Park West & W 102 St,40.795346,-73.96186,5475,7d41ac98-df88-497a-aef9-968660e6da0f,Central Park W & W 103 St,88.0,high,27.2
3766,Sharon St & Olive St,40.715353,-73.93856,5474,f3c68cfb-52fd-48c8-b6e5-85c179fee0b3,Sharon St & Olive St,98.4,high,7.8
4582.08,Knickerbocker Ave & Moffat St,40.690434,-73.903737,5472,65e7908a-a73e-4f8e-9967-0d0677f62bc4,Knickerbocker Ave & Moffat St,100.0,high,0.0
4253.02,Thomas S. Boyland St & Marion St,40.6814658848122,-73.91415685415268,5451,5782a158-b596-4936-a451-32ccc131a57d,Thomas S. Boyland St & Marion St,100.0,high,0.0
8040.03,E 167 St & Bryant Ave,40.826706,-73.888719,5417,b608193c-46ae-4b61-9e7a-4671e7c3b96e,E 167 St & Bryant Ave,98.9,high,5.4
3631,Crown St & Bedford Ave,40.666563,-73.956741,5414,2f580cf9-14e2-4300-ba22-f6d88d0312a5,Bedford Ave & Montgomery St,67.4,medium,84.6
8766.03,Grand Concourse & E 205 St,40.875531,-73.8863864831,5395,b4063b76-1abd-465c-96a4-45f6ee016bc5,Grand Concourse & E 205 St,100.0,high,0.0
2961.05,59 St & 5 Ave,40.640125,-74.015726,5393,0b857ee5-3d10-4152-952e-95fbaf06677a,59 St & 5 Ave,100.0,high,0.0
3512.03,Winthrop St & Rogers Ave,40.65686,-73.95331,5380,49703a2d-15e9-4af4-b80e-cca664d7ea18,Winthrop St & Rogers Ave,100.0,high,0.0
8469.05,Audubon Ave & W 192 St,40.85589030603889,-73.92708241939545,5376,c9cd8c29-7f0b-4979-9a0e-bec4613d2600,Audubon Ave & W 192 St,100.0,high,0.0
7391.02,20 Ave & Shore Blvd,40.785994,-73.915098,5371,4034789e-b70d-4aae-bf18-3ed37a4d751f,20 Ave & Shore Blvd,100.0,high,0.0
3814.01,Buffalo Ave & E New York Ave,40.66591,-73.92602,5367,c4377169-c19e-47e1-90a4-c4e14bb41601,Buffalo Ave & E New York Ave,100.0,high,0.0
3585.06,Nostrand Ave & Rutland Rd,40.6595,-73.95041,5366,0e240143-2f86-4754-8345-4994750d99f1,Nostrand Ave & Rutland Rd,100.0,high,0.0
3853.02,Eastern Pkwy & Rochester Ave,40.66846,-73.9282,5365,bf5a9ad8-6725-4ade-967d-aba612d423bf,Eastern Pkwy & Rochester Ave,100.0,high,0.0
6442.08,81 St & 35 Ave,40.75179,-73.88568,5363,1838617691511229014,81 St & 35 Ave,100.0,high,0.0
6067.01,48 Ave & 37 St,40.74034668087185,-73.92886072397232,5346,c0b541ae-9e66-4739-babb-483180747dc2,48 Ave & 37 St,100.0,high,0.0
3975.02,Albany Ave & Park Pl,40.67297,-73.93896,5341,5736cd70-be41-483e-8d82-721874f40e6e,Albany Ave & Park Pl,100.0,high,0.0
5176.04,Bleecker St & Forest Ave,40.7107,-73.90525,5338,9a37d8a1-990b-484c-9603-262dbd1165cc,Bleecker St & Forest Ave,100.0,high,0.0
2898.01,Cortelyou Rd & Stratford Rd,40.63966,-73.96807,5332,1817432787057164808,Cortelyou Rd & Stratford Rd,100.0,high,0.0
8384.03,W Tremont Ave & Grand Ave,40.850036,-73.912785,5329,a724eb92-55ca-4b9f-9a87-c2e87b3cbd40,W Tremont Ave & Grand Ave,100.0,high,0.0
8579.05,Academy St & Nagle Ave,40.862562,-73.922661,5320,23bc4d9b-1ec2-45fb-9228-e41517346b24,Academy St & Nagle Ave,100.0,high,0.0
8249.1,Walton Ave & E 171 St,40.840683,-73.915073,5296,d3433b47-99a7-4b21-9fa7-d7052bb5c23b,Walton Ave & E 171 St,100.0,high,0.0
6158.06,57 St & 43 Ave,40.74324,-73.908,5283,afc79a38-e26d-48f7-94e4-d0aca8fd1c49,57 St & 43 Ave,100.0,high,0.0
3114,India St & East River,40.73165141,-73.96161892,5273,bfe5e69d-89ff-48b3-bf20-80cbdfa443e0,India St Pier,72.7,medium,33.3
