puma_2010_code,puma_2020_code,puma_2020_name,intersection_area_sqft,pct_of_2010_area
4107,04405,"NYC-Queens Community District 5--Ridgewood, Maspeth, & Middle Village PUMA",90831.21163532216,0.08448539170194647
4107,04407,"NYC-Queens Community District 7--Flushing, Murray Hill, & Whitestone PUMA",32566.48208148782,0.030291261621120624
4107,04401,NYC-Queens Community District 1--Astoria & Queensbridge PUMA,452.37446101131746,0.0004207698306166332
4108,04406,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,77680999.0512638,99.8862376414564
4108,04409,"NYC-Queens Community District 9--Kew Gardens, Richmond Hill, & Woodhaven PUMA",49551.38773352535,0.06371573165979175
4108,04404,NYC-Queens Community District 4--Elmhurst & Corona PUMA,20548.051950394507,0.02642174566822472
4108,04405,"NYC-Queens Community District 5--Ridgewood, Maspeth, & Middle Village PUMA",18372.94524877474,0.02362488121556573
4109,04402,"NYC-Queens Community District 2--Long Island City, Sunnyside, & Woodside PUMA",131286706.92334497,78.59057172424428
4109,04405,"NYC-Queens Community District 5--Ridgewood, Maspeth, & Middle Village PUMA",13805842.948665038,8.2644246009173
4109,04401,NYC-Queens Community District 1--Astoria & Queensbridge PUMA,12038654.503661638,7.206553979496453
4109,04404,NYC-Queens Community District 4--Elmhurst & Corona PUMA,9805980.990780227,5.870035668062397
4109,04403,NYC-Queens Community District 3--Jackson Heights & East Elmhurst PUMA,62461.17985404633,0.03739037980567606
4109,04108,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island PUMA,37462.03559764213,0.02242544477326032
4109,04165,"NYC-Manhattan Community Districts 5 & 6--Midtown, East Midtown, & Flatiron PUMA",14363.424177480738,0.00859820270063701
4110,04405,"NYC-Queens Community District 5--Ridgewood, Maspeth, & Middle Village PUMA",204851432.42773643,99.90449464839125
4110,04409,"NYC-Queens Community District 9--Kew Gardens, Richmond Hill, & Woodhaven PUMA",81731.05182764378,0.03985961598195133
4110,04305,NYC-Brooklyn Community District 5--East New York & Cypress Hills PUMA,32494.542410295715,0.01584734263196571
4110,04402,"NYC-Queens Community District 2--Long Island City, Sunnyside, & Woodside PUMA",23771.947905180754,0.011593399246123145
4110,04304,NYC-Brooklyn Community District 4--Bushwick PUMA,22407.88177563215,0.010928154508878688
4110,04406,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,17704.01400439723,0.008634113764282702
4110,04301,NYC-Brooklyn Community District 1--Williamsburg & Greenpoint PUMA,17192.56896682274,0.008384685886655672
4110,04404,NYC-Queens Community District 4--Elmhurst & Corona PUMA,529.1031158628605,0.00025803958888993925
4111,04409,"NYC-Queens Community District 9--Kew Gardens, Richmond Hill, & Woodhaven PUMA",132012203.7802941,99.61232854072931
4111,04405,"NYC-Queens Community District 5--Ridgewood, Maspeth, & Middle Village PUMA",166868.9893088889,0.1259141814946183
4111,04408,"NYC-Queens Community District 8--Fresh Meadows, Hillcrest, & Briarwood PUMA",134693.07391410394,0.10163523027933323
4111,04412,"NYC-Queens Community District 12--Jamaica, St. Albans, & Hollis PUMA",122382.1893726028,0.0923458173276645
4111,04406,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,57375.769854640894,0.04329398247566342
4111,04404,NYC-Queens Community District 4--Elmhurst & Corona PUMA,29436.810778642368,0.022212107536311837
4111,04410,NYC-Queens Community District 10--South Ozone Park & Howard Beach PUMA,1724.5150039404798,0.001301265718068247
4111,04305,NYC-Brooklyn Community District 5--East New York & Cypress Hills PUMA,1284.010240076999,0.0009688744390410917
4112,04412,"NYC-Queens Community District 12--Jamaica, St. Albans, & Hollis PUMA",259977952.8528653,99.97204275865815
4112,04408,"NYC-Queens Community District 8--Fresh Meadows, Hillcrest, & Briarwood PUMA",40955.93265021726,0.015749213366740754
4112,04413,"NYC-Queens Community District 13--Queens Village, Bellerose, & Rosedale PUMA",31747.056814669504,0.01220802797510262
4113,04410,NYC-Queens Community District 10--South Ozone Park & Howard Beach PUMA,171035137.0081566,99.41638871092846
4113,04414,NYC-Queens Community District 14--The Rockaways PUMA,467353.8250587741,0.2716554641948605
4113,04412,"NYC-Queens Community District 12--Jamaica, St. Albans, & Hollis PUMA",329482.2057063095,0.19151579967027735
4113,04318,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,103394.77317939908,0.0600995511266858
4113,04409,"NYC-Queens Community District 9--Kew Gardens, Richmond Hill, & Woodhaven PUMA",56189.29001452645,0.0326607526102011
4113,04305,NYC-Brooklyn Community District 5--East New York & Cypress Hills PUMA,29204.68125087241,0.016975599249393025
4113,04413,"NYC-Queens Community District 13--Queens Village, Bellerose, & Rosedale PUMA",18415.28377976082,0.010704122220122805
4114,04414,NYC-Queens Community District 14--The Rockaways PUMA,313749984.49182785,99.99757768184658
4114,04318,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,7600.206931879944,0.0024223181534167347
